Stock,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Result,Profit_%,ER_21,CumRet_21,WMA_Ratio_21
SHK,2024-09-05,244.69000244140625,2024-09-24,300.4200134277344,Win,22.78,0.5078333536783859,0.331646271789966,1.0337752886829281
SARDAEN,2024-09-06,355.8500061035156,2024-09-25,453.5,Win,27.44,0.6072816756080178,0.2825734022241918,1.0295521826252352
RAMRAT,2024-09-09,304.3999938964844,2024-09-26,319.5,Win,4.96,0.5107738628011186,0.38206580656746597,1.0690452558427075
SARDAEN,2024-09-09,354.04998779296875,2024-09-26,439.2000122070313,Win,24.05,0.5633296013594137,0.24665488659496038,1.018984710111571
RAMRAT,2024-09-10,308.3999938964844,2024-09-27,324.92498779296875,Win,5.36,0.5154793919673182,0.3851336283434497,1.0684155310440515
SARDAEN,2024-09-10,368.3500061035156,2024-09-27,439.2000122070313,Win,19.23,0.6893942581612595,0.3281052749140232,1.0516221465428548
SHK,2024-09-10,257.4599914550781,2024-09-27,300.1400146484375,Win,16.58,0.5109438840739767,0.3484523193392232,1.061608438109289
RAMRAT,2024-09-11,306.54998779296875,2024-09-30,326.6000061035156,Win,6.54,0.5046253569263053,0.3808558008692286,1.0497423533629193
SARDAEN,2024-09-11,367.9500122070313,2024-09-30,443.0,Win,20.4,0.6835734735833411,0.3252296787163384,1.043377496124093
SHK,2024-09-11,262.6000061035156,2024-09-30,298.70001220703125,Win,13.75,0.5595900796045641,0.3944349824254927,1.071086552549905
RAMRAT,2024-09-12,307.70001220703125,2024-10-01,325.45001220703125,Win,5.77,0.5982407846240917,0.4481703888368076,1.0425743117953035
SARDAEN,2024-09-12,376.8500061035156,2024-10-01,451.25,Win,19.74,0.6484444881347133,0.2572143656497602,1.0601892430201922
SHK,2024-09-12,267.54998779296875,2024-10-01,294.54998779296875,Win,10.09,0.6281617493538524,0.45518322041115716,1.0790357153255419
WONDERLA,2024-09-12,864.6500244140625,2024-10-01,907.0999755859376,Win,4.91,0.588476366449501,0.10006364429270038,1.0205195884020182
RAMRAT,2024-09-13,315.7749938964844,2024-10-03,325.1000061035156,Win,2.95,0.597798550626445,0.43062627778744855,1.0576333979076515
SARDAEN,2024-09-13,382.6000061035156,2024-10-03,491.9500122070313,Win,28.58,0.573252061067609,0.1720018128254032,1.0673824452322365
SHK,2024-09-13,271.1400146484375,2024-10-03,286.8999938964844,Win,5.81,0.5306489819910182,0.2603542439193234,1.0815396105919166
RAMRAT,2024-09-16,316.8500061035156,2024-10-04,340.29998779296875,Win,7.4,0.5867526732946815,0.4016810520943354,1.0502625574755715
SARDAEN,2024-09-16,391.4500122070313,2024-10-04,480.2000122070313,Win,22.67,0.5650369339120994,0.16105596705785125,1.0813536134368433
SHK,2024-09-16,270.2099914550781,2024-10-04,301.95001220703125,Win,11.75,0.5530133863090729,0.2705002856897693,1.0675321384074667
RAMRAT,2024-09-17,325.20001220703125,2024-10-07,330.5,Win,1.63,0.557439337627334,0.3292459444925592,1.0656305930782546
RAMRAT,2024-09-19,324.32501220703125,2024-10-09,352.20001220703125,Win,8.59,0.5143406939355726,0.32634708231228443,1.0449704417697712
